612,
613,Jakiro
614,7.67%
615,56.18%
616,8.83%
617,52.90%
618,9.97%
619,53.45%
620,10.92%
621,51.97%
622,11.82%
623,51.28%
624,
625,Huskar
626,7.63%
627,49.30%
628,5.44%
629,49.87%
630,4.59%
631,51.08%
632,4.07%
633,51.55%
634,3.95%
635,52.93%
636,
637,Spectre
638,7.52%
639,50.97%
640,8.45%
641,50.36%
642,8.53%
643,49.96%
644,8.22%
645,50.53%
646,7.05%
647,49.05%
648,
649,Enchantress
650,7.44%
651,49.85%
652,5.37%
653,51.98%
654,4.52%
655,51.92%
656,3.74%
657,50.64%
658,3.40%
659,50.21%
660,
661,Luna
662,7.23%
663,51.44%
664,6.73%
665,51.96%
666,6.22%
667,51.22%
668,5.23%
669,49.58%
670,3.69%
671,52.61%
672,
673,Weaver
674,7.07%
675,45.81%
676,6.09%
677,47.91%
678,5.58%
679,46.77%
680,5.00%
681,47.91%
682,3.64%
683,47.29%
684,
685,Queen of Pain
686,7.05%
687,44.03%
688,7.53%
689,47.06%
690,8.31%
691,47.79%
692,8.93%
693,48.24%
694,10.19%
695,49.79%
696,
697,Ancient Apparition
698,7.03%
699,52.98%
700,10.03%
701,53.59%
702,11.55%
703,53.40%
704,11.99%
705,51.67%
706,9.73%
707,51.45%
708,
709,Warlock
710,7.02%
711,57.39%
712,8.47%
713,57.03%
714,9.17%
715,54.70%
716,10.15%
717,54.51%
718,11.43%
719,51.70%
720,
721,Templar Assassin
722,6.96%
723,45.08%
724,6.92%
725,48.10%
726,7.53%
727,50.23%
728,8.72%
729,50.44%
730,12.71%
731,52.72%
732,
733,Venomancer
734,6.86%
735,51.87%
736,6.96%
737,50.79%
738,6.73%
739,51.35%
740,5.97%
741,49.94%
742,4.52%
743,50.37%
744,
745,Ember Spirit
746,6.81%
747,47.20%
748,8.84%
749,48.79%
750,10.66%
751,49.99%
752,13.20%
753,49.16%
754,18.27%
755,50.86%
756,
757,Sand King
758,6.59%
759,53.20%
760,8.00%
761,52.38%
762,9.68%
763,52.43%
764,12.61%
765,53.07%
766,21.42%
767,52.99%
768,
769,Phantom Lancer
770,6.52%
771,45.33%
772,5.37%
773,45.08%
774,4.75%
775,46.06%
776,4.18%
777,46.57%
778,3.95%
779,46.55%
780,
781,Vengeful Spirit
782,6.43%
783,54.11%
784,7.35%
785,54.33%
786,7.19%
787,54.65%
788,6.61%
789,53.38%
790,4.78%
791,52.60%
792,
793,Razor
794,6.27%
795,50.69%
796,5.24%
797,49.71%
798,5.05%
799,50.64%
800,5.47%
801,49.98%
802,7.03%
803,49.86%
804,
805,Grimstroke
806,6.19%
807,49.63%
808,7.95%
809,48.85%
810,9.92%
811,48.21%
812,12.45%
813,48.72%
814,14.97%
815,48.36%
816,
817,Doom
