Hero,pick_1k,win_1k,pick_2k,win_2k,pick_3k,win_3k,pick_4k,win_4k,pick_5k,win_5k
Witch Doctor,12.12,51.59,12.8,52.05,12.2,51.18,11.04,49.65,8.15,48.32
Nature's Prophet,11.79,47.87,10.8,44.66,10.28,43.36,9.93,46.7,10.96,48.63
Skywrath Mage,11.44,52.54,10.46,53.02,9.91,51.87,10.1,51.5,8.71,49.78
Ursa,11.43,53.38,10.18,54.34,10.35,53.86,11.33,52.49,13.05,51.13
Anti-Mage,11.33,43,12.16,44.96,11.92,46.89,11.61,48.7,11.13,47.89
Faceless Void,10.92,44.83,10.48,46.22,8.85,46.91,7.16,47.69,4.2,48.1
Sven,10.85,49.64,9.48,51.39,8.94,51.6,9.14,50.85,11.24,51.68
Spirit Breaker,10.79,52.87,8.7,50.08,7.46,51.43,6.74,50.84,6.75,52.95
Morphling,10.77,48.39,12.24,46.66,13.42,45.38,14.68,45.53,18.12,46.36
Slark,10.5,46.81,9.81,47.87,8.69,48.75,7.66,49.49,5.7,49.73
Kunkka,10.48,50.77,10.61,50.58,10.27,51.19,9.25,50.7,7.64,49.68
Chaos Knight,10.21,54.44,8.01,55.8,6.15,54.54,4.86,52.1,3.15,48.89
Zeus,9.8,49.85,8.75,50.82,8.09,49.04,7.27,49.58,4.41,48
Alchemist,9.6,47.32,10.22,48.31,9.49,48.91,7.97,48.46,5.43,48.23
Lina,9.52,45.65,8.8,46.74,9.24,47.91,10.52,47.35,15.9,49.22
Storm Spirit,9.48,44.25,10.39,45.7,11.07,46.72,12.27,48.57,14.37,49.31
Silencer,9.19,53.61,9.31,52.47,8.65,52.19,7.92,52.19,6.33,49.9
Troll Warlord,8.95,49.66,7.07,50.05,6.94,48.83,7.86,47.76,11.85,47.59
Slardar,8.7,49.33,8.22,48.85,7.51,48.73,7.04,48.94,5.96,49.67
Mars,8.56,49.31,9.72,51.21,11.98,51.83,15.58,53.16,21.1,51.78
Shadow Fiend,8.47,48.04,9.35,46.78,9.69,46.91,9.56,45.69,8.64,45.3
Techies,8.37,49.04,8.26,45.02,8.89,43.24,8.14,44.63,6.05,44.86
Lifestealer,8.23,47.78,9.21,48.24,9.68,50.54,10.54,50.43,12.4,48.85
Mirana,8.21,49.38,10.49,48.79,10.83,50.34,9.76,49.52,5.28,49.04
Dragon Knight,8.18,48.81,7.26,46.59,5.68,46.61,4.16,45.63,2.51,44.32
Medusa,8.13,48.46,8.41,46.93,7.67,47.05,6.55,47.15,5.12,44.92
Rubick,7.85,45.34,10.81,45.97,13.81,46.86,15.77,46.43,16.68,48.43
Clinkz,7.82,48.78,6.94,49.94,6.62,53.35,6.73,53.72,5.52,53.53
Jakiro,7.67,56.18,8.83,52.9,9.97,53.45,10.92,51.97,11.82,51.28
